Word,Count,Salience,Group,Word on Sentiment List #1: List1,Word on Sentiment List #2: List2,Word on Sentiment List #3: List3
Sentiment List#1,Positive,,,,,
Sentiment List#2,Negative,,,,,
Sentiment List#3,(Add your own word list),,,,,
Words in Sentiment List#1,1735,0.041,,,,
Words in Sentiment List#2,507,0.012,,,,
Words in Sentiment List#3,0,0.000,,,,
Non-categorized Words,40078,0.947,,,,
Total Words,42320,1.000,,,,
services,1214,0.003,,FALSE,FALSE,FALSE
ecosystem,1135,0.004,,FALSE,FALSE,FALSE
biodiversity,209,0.008,,FALSE,FALSE,FALSE
#ecosystemservices,160,0.007,,FALSE,FALSE,FALSE
conservation,154,0.007,,FALSE,FALSE,FALSE
ecological,125,0.006,,FALSE,FALSE,FALSE
soil,119,0.006,,FALSE,FALSE,FALSE
natural,118,0.006,,FALSE,FALSE,FALSE
people,118,0.006,,FALSE,FALSE,FALSE
carbon,115,0.006,,FALSE,FALSE,FALSE
environment,108,0.006,,FALSE,FALSE,FALSE
networks,103,0.005,,FALSE,FALSE,FALSE
socio,103,0.005,,FALSE,FALSE,FALSE
interactions,100,0.005,,FALSE,FALSE,FALSE
nature,88,0.005,,FALSE,FALSE,FALSE
habitat,87,0.005,,FALSE,FALSE,FALSE
change,86,0.005,,FALSE,FALSE,FALSE
provides,83,0.005,,FALSE,FALSE,FALSE
water,83,0.005,,FALSE,FALSE,FALSE
food,82,0.005,,FALSE,FALSE,FALSE
land,79,0.005,,FALSE,FALSE,FALSE
management,77,0.004,,FALSE,FALSE,FALSE
provide,77,0.004,,FALSE,FALSE,FALSE
supporting,75,0.004,,TRUE,FALSE,FALSE
connectivity,73,0.004,,FALSE,FALSE,FALSE
role,72,0.004,,FALSE,FALSE,FALSE
climate,65,0.004,,FALSE,FALSE,FALSE
landscape,61,0.004,,FALSE,FALSE,FALSE
life,61,0.004,,FALSE,FALSE,FALSE
blog,61,0.004,,FALSE,FALSE,FALSE
managing,60,0.004,,FALSE,FALSE,FALSE
#india,59,0.004,,FALSE,FALSE,FALSE
international,58,0.004,,FALSE,FALSE,FALSE
wildlife,58,0.004,,FALSE,FALSE,FALSE
#tiger,58,0.004,,FALSE,FALSE,FALSE
#ecosystem,57,0.004,,FALSE,FALSE,FALSE
vital,57,0.004,,FALSE,FALSE,FALSE
reserves,57,0.004,,FALSE,FALSE,FALSE
#agriculture,56,0.004,,FALSE,FALSE,FALSE
sustainable,54,0.004,,TRUE,FALSE,FALSE
earth,54,0.004,,FALSE,FALSE,FALSE
conference,54,0.004,,FALSE,FALSE,FALSE
#morningpositives,54,0.004,,FALSE,FALSE,FALSE
secure,54,0.004,,TRUE,FALSE,FALSE
tigers,54,0.004,,FALSE,FALSE,FALSE
gene,54,0.004,,FALSE,FALSE,FALSE
pool,54,0.004,,FALSE,FALSE,FALSE
use,53,0.003,,FALSE,FALSE,FALSE
tiger,53,0.004,,FALSE,FALSE,FALSE
forest,51,0.004,,FALSE,FALSE,FALSE
effects,50,0.003,,FALSE,FALSE,FALSE
trees,50,0.003,,FALSE,FALSE,FALSE
#biodiversity,49,0.003,,FALSE,FALSE,FALSE
coastal,48,0.003,,FALSE,FALSE,FALSE
farm,48,0.003,,FALSE,FALSE,FALSE
reef,48,0.003,,FALSE,FALSE,FALSE
based,47,0.003,,FALSE,FALSE,FALSE
crucial,47,0.003,,FALSE,FALSE,FALSE
coral,47,0.003,,FALSE,FALSE,FALSE
sustaining,46,0.003,,FALSE,FALSE,FALSE
resource,46,0.003,,FALSE,FALSE,FALSE
#soil,45,0.003,,FALSE,FALSE,FALSE
#groundedinsoil,45,0.003,,FALSE,FALSE,FALSE
#climatechange,44,0.003,,FALSE,FALSE,FALSE
plethora,44,0.003,,FALSE,FALSE,FALSE
asia,43,0.003,,FALSE,FALSE,FALSE
urban,42,0.003,,FALSE,FALSE,FALSE
forests,42,0.003,,FALSE,FALSE,FALSE
ministerial,41,0.003,,FALSE,FALSE,FALSE
health,40,0.003,,FALSE,FALSE,FALSE
areas,40,0.003,,FALSE,FALSE,FALSE
india,40,0.003,,FALSE,FALSE,FALSE
