Word,Count,Salience,Word on Sentiment List #1: List1,Word on Sentiment List #2: List2,Word on Sentiment List #3: List3
Sentiment List#1,Positive,,,,
Sentiment List#2,Negative,,,,
Sentiment List#3,(Add your own word list),,,,
Words in Sentiment List#1,1504,0.039,,,
Words in Sentiment List#2,465,0.012,,,
Words in Sentiment List#3,0,0.000,,,
Non-categorized Words,36639,0.949,,,
Total Words,38608,1.000,,,
wetlands,348,0.014,FALSE,FALSE,FALSE
biodiversity,198,0.010,FALSE,FALSE,FALSE
#worldwetlandsday,193,0.009,FALSE,FALSE,FALSE
#ecosystemservices,180,0.009,FALSE,FALSE,FALSE
water,170,0.008,FALSE,FALSE,FALSE
#wetlands,131,0.007,FALSE,FALSE,FALSE
#biodiversity,120,0.007,FALSE,FALSE,FALSE
livelihoods,108,0.006,FALSE,FALSE,FALSE
management,106,0.007,FALSE,FALSE,FALSE
health,104,0.006,FALSE,FALSE,FALSE
forest,102,0.007,FALSE,FALSE,FALSE
carbon,98,0.007,FALSE,FALSE,FALSE
climate,92,0.006,FALSE,FALSE,FALSE
value,86,0.006,FALSE,FALSE,FALSE
wetland,85,0.006,FALSE,FALSE,FALSE
world,82,0.006,FALSE,FALSE,FALSE
food,80,0.006,FALSE,FALSE,FALSE
nature,76,0.005,FALSE,FALSE,FALSE
#actforwetlands,76,0.005,FALSE,FALSE,FALSE
natural,75,0.005,FALSE,FALSE,FALSE
protect,70,0.005,TRUE,FALSE,FALSE
science,70,0.005,FALSE,FALSE,FALSE
change,67,0.005,FALSE,FALSE,FALSE
assessment,67,0.005,FALSE,FALSE,FALSE
restoration,65,0.005,FALSE,FALSE,FALSE
life,64,0.005,FALSE,FALSE,FALSE
ecosystems,59,0.004,FALSE,FALSE,FALSE
benefits,59,0.005,TRUE,FALSE,FALSE
mercury,57,0.006,FALSE,FALSE,FALSE
people,56,0.004,FALSE,FALSE,FALSE
land,56,0.004,FALSE,FALSE,FALSE
local,56,0.004,FALSE,FALSE,FALSE
know,56,0.005,FALSE,FALSE,FALSE
policy,56,0.004,FALSE,FALSE,FALSE
#generationrestoration,56,0.004,FALSE,FALSE,FALSE
sustainable,55,0.004,TRUE,FALSE,FALSE
conservation,53,0.004,FALSE,FALSE,FALSE
urban,52,0.005,FALSE,FALSE,FALSE
environmental,52,0.004,FALSE,FALSE,FALSE
economic,51,0.004,FALSE,FALSE,FALSE
#ecosystem,50,0.004,FALSE,FALSE,FALSE
human,50,0.004,FALSE,FALSE,FALSE
ground,47,0.004,FALSE,FALSE,FALSE
soil,46,0.004,FALSE,FALSE,FALSE
habitats,44,0.004,FALSE,FALSE,FALSE
support,44,0.004,TRUE,FALSE,FALSE
flood,42,0.004,FALSE,FALSE,FALSE
key,42,0.004,FALSE,FALSE,FALSE
global,41,0.003,FALSE,FALSE,FALSE
habitat,41,0.003,FALSE,FALSE,FALSE
coastal,41,0.004,FALSE,FALSE,FALSE
development,41,0.003,FALSE,FALSE,FALSE
forests,40,0.004,FALSE,FALSE,FALSE
vital,39,0.003,FALSE,FALSE,FALSE
freshwater,39,0.003,FALSE,FALSE,FALSE
mitigation,39,0.003,FALSE,FALSE,FALSE
#worldwetlandday,39,0.003,FALSE,FALSE,FALSE
#climatechange,35,0.003,FALSE,FALSE,FALSE
essential,35,0.003,FALSE,FALSE,FALSE
planet,35,0.003,FALSE,FALSE,FALSE
national,35,0.003,FALSE,FALSE,FALSE
service,35,0.003,FALSE,FALSE,FALSE
species,33,0.003,FALSE,FALSE,FALSE
wildlife,33,0.003,FALSE,FALSE,FALSE
loss,33,0.003,FALSE,TRUE,FALSE
4,33,0.003,FALSE,FALSE,FALSE
impacts,33,0.003,FALSE,FALSE,FALSE
intergovernmental,32,0.003,FALSE,FALSE,FALSE
approaches,32,0.003,FALSE,FALSE,FALSE
institute,32,0.003,FALSE,FALSE,FALSE
restore,31,0.003,FALSE,FALSE,FALSE
critical,30,0.003,FALSE,TRUE,FALSE
air,30,0.003,FALSE,FALSE,FALSE
traits,30,0.003,FALSE,FALSE,FALSE
areas,30,0.003,FALSE,FALSE,FALSE
