,Visual Properties,,,,,,Labels,,,,Layout,,,,,,Graph Metrics,,,,,,,,,Do Not Edit,,Other Columns,,
Vertex,Color,Shape,Size,Opacity,Image File,Visibility,Label,Label Fill Color,Label Position,Tooltip,Layout Order,X,Y,Locked?,Polar R,Polar Angle,Degree,In-Degree,Out-Degree,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank,Clustering Coefficient,Reciprocated Vertex Pair Ratio,ID,Dynamic Filter,Add Your Own Columns Here,Vertex Group,
soil,,,,,,,soil,,,,,"4,334.7","2,830.4",,,,,,,5949.919,0.147,0.251,0.005,0.000,,3,,,5,
natural,,,,,,,natural,,,,,"4,190.6","2,262.6",,,,,,,7692.369,0.146,0.183,0.006,0.000,,4,,,5,
biodiversity,,,,,,,biodiversity,,,,,"2,169.8","8,052.4",,,,,,,7270.640,0.145,0.387,0.006,0.000,,5,,,11,
change,,,,,,,change,,,,,"5,730.4","5,545.7",,,,,,,2659.652,0.138,0.246,0.006,0.000,,6,,,4,
management,,,,,,,management,,,,,"5,999.6","6,516.0",,,,,,,3652.690,0.136,0.368,0.006,0.000,,7,,,3,
semi,,,,,,,semi,,,,,"3,503.1","4,152.3",,,,,,,5719.000,0.134,0.057,0.005,0.000,,8,,,2,
habitat,,,,,,,habitat,,,,,"5,179.2","2,417.9",,,,,,,3253.343,0.133,0.119,0.006,0.000,,9,,,5,
conservation,,,,,,,conservation,,,,,"4,068.0","8,745.3",,,,,,,2290.167,0.130,0.170,0.006,0.000,,10,,,7,
climate,,,,,,,climate,,,,,"5,589.5","6,743.1",,,,,,,895.000,0.129,0.189,0.005,0.000,,11,,,3,
coastal,,,,,,,coastal,,,,,"5,592.7","3,449.4",,,,,,,2626.514,0.127,0.076,0.005,0.000,,12,,,4,
carbon,,,,,,,carbon,,,,,"5,524.2","8,163.0",,,,,,,1802.083,0.127,0.202,0.006,0.000,,13,,,8,
resource,,,,,,,resource,,,,,"4,297.1","5,383.3",,,,,,,511.633,0.126,0.059,0.005,0.000,,14,,,10,
water,,,,,,,water,,,,,"3,627.7","6,185.0",,,,,,,1144.367,0.126,0.138,0.005,0.000,,15,,,10,
social,,,,,,,social,,,,,"1,577.0","7,880.8",,,,,,,1183.000,0.126,0.123,0.004,0.000,,16,,,11,
#soil,,,,,,,#soil,,,,,"4,617.8","3,046.3",,,,,,,0.000,0.126,0.070,0.004,0.000,,17,,,5,
cover,,,,,,,cover,,,,,"4,476.2","1,777.9",,,,,,,258.500,0.125,0.057,0.005,0.000,,18,,,5,
leave,,,,,,,leave,,,,,"3,799.0","2,494.8",,,,,,,258.500,0.125,0.057,0.005,0.000,,19,,,5,
central,,,,,,,central,,,,,"5,668.9","4,505.0",,,,,,,834.024,0.125,0.091,0.004,0.000,,20,,,4,
reintroduction,,,,,,,reintroduction,,,,,"2,430.2","7,819.3",,,,,,,181.100,0.125,0.127,0.005,0.000,,21,,,11,
capital,,,,,,,capital,,,,,"4,569.5","2,583.9",,,,,,,0.000,0.124,0.052,0.004,0.000,,22,,,5,
plant,,,,,,,plant,,,,,"3,304.2","4,550.0",,,,,,,5628.000,0.124,0.017,0.005,0.000,,23,,,2,
use,,,,,,,use,,,,,"6,689.2","5,530.3",,,,,,,1056.702,0.124,0.175,0.005,0.000,,24,,,4,
wildlife,,,,,,,wildlife,,,,,"4,194.4","8,233.8",,,,,,,445.000,0.124,0.051,0.005,0.000,,25,,,7,
tigers,,,,,,,tigers,,,,,"4,022.9","8,409.1",,,,,,,437.167,0.123,0.062,0.005,0.000,,26,,,7,
land,,,,,,,land,,,,,"6,668.0","6,985.7",,,,,,,1577.414,0.122,0.267,0.006,0.000,,27,,,3,
farm,,,,,,,farm,,,,,"8,280.0","5,567.8",,,,,,,2056.902,0.122,0.240,0.006,0.000,,28,,,9,
lead,,,,,,,lead,,,,,"6,218.9","8,534.3",,,,,,,170.500,0.121,0.093,0.005,0.000,,29,,,8,
environmental,,,,,,,environmental,,,,,"5,879.5","5,098.7",,,,,,,519.000,0.119,0.076,0.005,0.000,,30,,,4,
contrasting,,,,,,,contrasting,,,,,"6,410.4","7,421.2",,,,,,,519.000,0.118,0.113,0.005,0.000,,31,,,3,
intensities,,,,,,,intensities,,,,,"6,221.6","6,124.3",,,,,,,0.000,0.117,0.103,0.004,0.000,,32,,,3,
secure,,,,,,,secure,,,,,"4,737.7","2,237.4",,,,,,,688.000,0.116,0.037,0.005,0.000,,33,,,5,
marine,,,,,,,marine,,,,,"6,703.3","1,563.0",,,,,,,361.943,0.116,0.037,0.005,0.000,,34,,,6,
around,,,,,,,around,,,,,"5,048.6","2,010.1",,,,,,,175.000,0.116,0.036,0.005,0.000,,35,,,5,
reduced,,,,,,,reduced,,,,,"5,837.3","8,482.1",,,,,,,128.583,0.115,0.083,0.005,0.000,,36,,,8,
grow,,,,,,,grow,,,,,"2,960.4","4,607.4",,,,,,,5535.000,0.115,0.006,0.005,0.000,,37,,,2,
crucial,,,,,,,crucial,,,,,"3,884.9","9,112.7",,,,,,,1503.000,0.115,0.052,0.005,0.000,,38,,,7,
region,,,,,,,region,,,,,"5,925.8","3,685.5",,,,,,,509.840,0.114,0.033,0.005,0.000,,39,,,4,
gene,,,,,,,gene,,,,,"3,620.0","8,410.1",,,,,,,175.000,0.113,0.052,0.005,0.000,,40,,,7,
tiger,,,,,,,tiger,,,,,"4,290.4","9,267.3",,,,,,,0.000,0.113,0.048,0.004,0.000,,41,,,7,
solutions,,,,,,,solutions,,,,,"5,414.6","6,257.3",,,,,,,519.000,0.113,0.059,0.005,0.000,,42,,,3,
seas,,,,,,,seas,,,,,"7,150.4","1,693.0",,,,,,,1964.057,0.113,0.029,0.005,0.000,,43,,,6,
landscape,,,,,,,landscape,,,,,"6,665.5","4,117.3",,,,,,,850.924,0.112,0.106,0.006,0.000,,44,,,4,
provides,,,,,,,provides,,,,,"3,829.0","5,505.5",,,,,,,387.150,0.112,0.025,0.005,0.000,,45,,,10,
life,,,,,,,life,,,,,"3,250.7","6,082.1",,,,,,,975.267,0.112,0.057,0.005,0.000,,46,,,10,
alteration,,,,,,,alteration,,,,,"6,260.6","3,812.8",,,,,,,457.590,0.111,0.039,0.005,0.000,,47,,,4,
comfort,,,,,,,comfort,,,,,"2,876.1","7,621.8",,,,,,,51.183,0.111,0.062,0.005,0.000,,48,,,11,
absorption,,,,,,,absorption,,,,,"5,146.5","8,689.3",,,,,,,519.000,0.111,0.062,0.005,0.000,,49,,,8,
emissions,,,,,,,emissions,,,,,"5,384.0","9,141.6",,,,,,,258.500,0.111,0.063,0.005,0.000,,50,,,8,
non,,,,,,,non,,,,,"5,694.6","8,834.8",,,,,,,258.500,0.111,0.063,0.005,0.000,,51,,,8,
ecological,,,,,,,ecological,,,,,"1,014.1","8,006.7",,,,,,,1029.000,0.111,0.046,0.006,0.000,,52,,,11,
managing,,,,,,,managing,,,,,"3,862.5","6,480.4",,,,,,,88.500,0.111,0.045,0.005,0.000,,53,,,10,
supporting,,,,,,,supporting,,,,,"3,462.1","5,858.6",,,,,,,347.917,0.110,0.029,0.005,0.000,,54,,,10,
sequestration,,,,,,,sequestration,,,,,"5,036.8","7,948.8",,,,,,,0.000,0.110,0.057,0.004,0.000,,55,,,8,
effects,,,,,,,effects,,,,,"7,850.2","5,835.0",,,,,,,424.583,0.109,0.157,0.005,0.000,,56,,,9,
