,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Count,Vertex 1 Group,Vertex 2 Group,Edge Weight
#actforwetlands,#worldwetlandsday,,,,,,,,,,3,,15,5,5,1
#biodiversity,#ecosystemservices,,,,,,,,,,4,,21,10,13,1
#biodiversity,human,,,,,,,,,,5,,21,10,4,1
#biodiversity,losses,,,,,,,,,,6,,10,10,10,1
#biodiversity,planet,,,,,,,,,,7,,20,10,12,1
#cameroon,national,,,,,,,,,,8,,12,1,1,1
#climateaction,#ecosystemservices,,,,,,,,,,9,,18,5,13,1
#climatechange,unsustainable,,,,,,,,,,10,,18,9,9,1
#ecosystemservices,value,,,,,,,,,,11,,15,13,13,1
#highseas,reservoirs,,,,,,,,,,12,,20,10,10,1
#highseastreaty,#listentotheocean,,,,,,,,,,13,,20,12,12,1
#himalaya,livelihoods,,,,,,,,,,14,,18,3,2,1
#listentotheocean,#oneoceanoneplanet,,,,,,,,,,15,,20,12,12,1
#oneoceanoneplanet,#bbnj,,,,,,,,,,16,,20,12,12,1
#pollution,negative,,,,,,,,,,17,,19,6,6,1
#wetlands,#himalaya,,,,,,,,,,18,,18,3,3,1
#wetlands,replenish,,,,,,,,,,19,,18,3,8,1
#wetlands,vital,,,,,,,,,,20,,12,3,3,1
#worldwetlandday,wetlands,,,,,,,,,,21,,12,2,2,1
#worldwetlandsday,#climateaction,,,,,,,,,,22,,10,5,5,1
#worldwetlandsday,#generationrestoration,,,,,,,,,,23,,45,5,5,1
actions,reducing,,,,,,,,,,24,,19,4,6,1
adapted,habitats,,,,,,,,,,25,,14,1,5,1
affect,ground,,,,,,,,,,26,,28,8,8,1
air,water,,,,,,,,,,27,,15,4,4,1
altitude,#wetlands,,,,,,,,,,28,,18,3,3,1
ambitious,#highseastreaty,,,,,,,,,,29,,20,12,12,1
approaches,service,,,,,,,,,,30,,28,8,8,1
asian,dowitcher,,,,,,,,,,31,,14,1,1,1
assessment,interlinkages,,,,,,,,,,32,,16,1,1,1
benefits,#generationrestoration,,,,,,,,,,33,,10,5,5,1
